region,variable,target_period,release_label,published_on,value_native,unit_native,value_qq,source,retrieved_at,source_file
US,rgdp_growth,2021Q4,advance,2022-01-27,6.88744,saar_pct,1.6791,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2022Q1,advance,2022-04-28,-1.41411,saar_pct,-0.3554,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2022Q2,advance,2022-07-28,-0.93418,saar_pct,-0.2344,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2022Q3,advance,2022-10-27,2.56665,saar_pct,0.6356,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2022Q4,advance,2023-01-26,2.89158,saar_pct,0.7152,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2023Q1,advance,2023-04-27,1.06229,saar_pct,0.2645,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2023Q2,advance,2023-07-27,2.41429,saar_pct,0.5982,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2023Q3,advance,2023-10-26,4.87801,saar_pct,1.1978,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2023Q4,advance,2024-01-25,3.280041,saar_pct,0.8101,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2024Q1,advance,2024-04-25,1.58969,saar_pct,0.3951,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2024Q2,advance,2024-07-25,2.840098,saar_pct,0.7026,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2024Q3,advance,2024-09-30,2.824836,saar_pct,0.6988,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2024Q4,advance,2025-01-30,2.25121,saar_pct,0.5581,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2025Q1,advance,2025-04-30,-0.27605,saar_pct,-0.0691,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2025Q2,advance,2025-07-30,2.968252,saar_pct,0.7339,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2025Q3,advance,2025-12-23,4.34278443849256,saar_pct,1.0685,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2025Q4,advance,2026-02-20,1.422613,saar_pct,0.3538,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
US,rgdp_growth,2026Q1,advance,2026-04-30,1.9901,saar_pct,0.4939,gdpnow_trackrecord(BEA),2026-07-06T11:16:55+00:00,gdpnow_tracking.xlsx
