WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	Estimates Start After
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.446	-2.324	-4.175	1.539	0.613	3.087	-0.567	-1.243	-3.071	0.165	1.300	2.500	2.200	1.600	1.500	1.500	1.500	2016
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.984	3.728	5.416	4.351	2.863	3.218	3.153	3.020	2.329	2.175	2.268	2.278	2.288	2016
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.050	5.589	3.206	4.610	4.177	3.744	3.985	2.931	2.388	4.298	4.603	4.203	4.801	4.324	4.513	4.770	5.013	5.304	5.044	5.421	5.600	4.834	4.845	5.776	6.108	6.302	6.851	6.518	5.515	5.315	6.030	6.494	6.260	6.038	6.314	6.842	7.202	7.137	7.000	7.000	7.000	7.000	7.000	7.000	2016
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	1.764	0.396	-4.032	0.256	0.756	0.280	-0.613	0.091	0.952	1.643	0.882	0.527	0.802	0.979	0.960	0.960	0.960	2015
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.725	5.045	7.043	11.450	9.441	9.998	8.647	10.248	0.164	7.750	5.550	1.708	0.999	1.651	-3.830	-2.526	2.373	2.824	2.450	2.012	1.964	1.975	1.993	2016
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.593	3.710	1.975	3.563	3.634	0.811	1.781	0.774	3.635	2.095	2.506	3.449	0.783	-2.253	2.744	1.799	0.235	0.200	1.351	1.405	1.466	1.707	1.887	1.686	1.461	1.495	1.485	1.502	2016
339	BLZ	NGDP_RPCH	Belize	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.013	0.214	-7.551	6.076	11.332	-1.419	7.275	21.997	10.861	15.474	11.209	11.457	12.069	6.269	0.162	0.656	1.425	3.547	3.732	8.777	13.020	5.030	5.109	9.330	4.645	2.583	4.578	1.104	3.233	0.795	3.314	2.106	3.749	0.688	4.045	3.795	-0.487	0.755	1.800	2.006	1.700	1.700	1.700	1.739	2016
638	BEN	NGDP_RPCH	Benin	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.255	1.929	1.682	-2.000	0.400	4.327	2.748	-2.074	3.428	-2.849	8.976	4.226	2.958	5.836	2.020	6.045	4.324	5.735	3.961	5.341	4.862	5.335	4.640	3.448	4.426	1.719	3.939	5.983	4.901	2.326	2.110	2.960	4.814	7.196	6.352	2.097	3.969	5.592	6.039	6.336	6.689	7.075	6.142	6.111	2014
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.118	6.748	6.527	6.981	12.571	10.752	5.722	9.327	9.720	6.428	3.570	3.963	6.129	6.350	6.002	7.116	7.551	9.221	9.534	10.226	11.429	2016
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.646	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.200	4.000	3.800	3.700	3.700	3.700	3.700	2016
