WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	Estimates Start After	
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.320	6.876	6.666	7.137	12.861	10.964	5.801	9.484	9.866	6.495	3.582	3.968	6.221	7.408	6.322	3.835	4.425	-2.382	-3.730	4.385	4.498	6.659	6.171	5.896	5.762	2021	
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.647	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	2.217	-8.738	6.106	3.800	3.700	3.600	3.500	3.400	3.400	2020	
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.148	3.088	3.146	3.176	3.740	2.831	-3.119	5.800	2.450	2.250	3.000	3.000	3.000	3.000	2020	
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	8.453	2.466	7.106	-1.622	8.035	4.271	2.348	7.434	5.388	1.397	4.972	6.034	5.793	3.252	-14.144	10.122	6.839	-0.171	11.103	5.697	-4.851	7.202	4.113	4.190	3.033	-8.726	12.515	4.305	4.227	3.964	3.956	4.006	3.986	2020	
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.467	4.665	5.334	4.417	2.209	3.395	0.338	0.468	4.388	1.390	3.053	1.141	5.760	3.202	3.962	6.070	5.094	-0.126	7.528	3.974	1.921	3.005	0.504	-3.546	-3.276	1.323	1.784	1.221	-3.879	4.619	0.806	1.396	2.193	2.014	2.016	2.040	2020	
516	BRN	NGDP_RPCH	Brunei Darussalam	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	-2.778	0.311	-0.360	2.206	1.085	3.148	4.759	0.301	3.149	4.477	2.881	-1.475	-0.560	3.053	2.853	2.745	3.872	2.903	0.504	0.388	4.098	-3.764	-3.901	-1.900	2.741	3.744	0.913	-2.125	-2.508	-0.405	-2.465	1.329	0.052	3.869	1.113	-0.676	5.830	2.601	2.129	2.080	2.091	2.112	2020	
918	BGR	NGDP_RPCH	Bulgaria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.700	5.300	4.200	3.000	4.600	1.800	5.300	4.700	2.400	-0.500	-9.100	-10.755	-8.426	-11.625	-3.665	-1.601	-8.043	-14.115	3.789	-8.396	4.587	3.824	5.872	5.237	6.510	7.056	6.803	6.591	6.116	-3.272	1.542	2.101	0.755	-0.560	0.967	3.428	3.040	2.762	2.685	4.038	-4.387	4.178	3.200	4.500	4.200	3.000	2.800	2.840	2021	
748	BFA	NGDP_RPCH	Burkina Faso	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.035	2.661	1.400	-1.200	1.600	11.300	7.955	-0.236	5.796	2.150	-0.603	9.070	0.233	3.461	1.315	5.716	11.015	6.317	7.308	7.333	1.888	6.613	4.353	7.802	4.478	8.662	6.253	4.111	5.800	2.962	8.446	6.623	6.453	5.793	4.327	3.921	5.958	6.203	6.731	5.699	1.930	6.917	4.724	4.963	5.274	5.259	5.345	5.305	2020	
618	BDI	NGDP_RPCH	Burundi	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.825	12.164	-1.054	3.715	0.155	11.784	3.250	5.503	5.031	1.349	3.458	5.781	1.007	-6.236	-3.829	-7.919	-8.001	0.413	4.752	1.164	1.781	1.665	2.353	2.469	3.766	4.370	5.414	3.452	4.862	3.813	5.124	4.033	4.447	4.924	4.241	-3.900	-0.600	0.500	1.610	1.842	0.335	2.447	3.630	4.564	4.893	5.167	4.811	4.519	2019	
624	CPV	NGDP_RPCH	Cabo Verde	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.263	8.450	2.822	9.523	3.780	8.643	2.872	4.308	5.997	5.698	0.692	1.403	3.045	7.310	6.930	7.492	6.694	7.639	8.413	11.860	7.267	6.138	5.283	7.502	4.927	5.810	9.118	9.218	6.651	-1.270	1.467	3.969	1.082	0.803	0.611	1.007	4.706	3.702	4.531	5.668	-14.783	6.897	5.204	5.753	5.698	5.500	5.002	4.498	2020	
