WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After	
622	CMR	NGDP_RPCH	Cameroon	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.900	17.051	7.563	6.844	7.468	8.107	6.791	-2.153	-7.865	-1.770	-6.161	-3.764	-3.050	-3.158	-2.495	3.304	4.912	5.314	4.895	4.062	3.553	4.368	4.237	4.567	6.781	2.021	3.458	4.902	3.489	2.199	3.423	4.129	4.543	5.404	5.884	5.651	4.648	3.549	4.062	3.855	-2.769	3.437	4.303	4.813	5.378	5.421	2019	
156	CAN	NGDP_RPCH	Canada	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.163	3.503	-3.187	2.601	5.908	4.737	2.145	4.073	4.410	2.317	0.165	-2.086	0.900	2.661	4.494	2.694	1.619	4.280	3.896	5.163	5.178	1.790	3.018	1.802	3.087	3.204	2.634	2.072	1.004	-2.926	3.090	3.146	1.761	2.329	2.870	0.659	1.001	3.171	2.014	1.656	-7.141	5.176	3.401	2.435	1.831	1.700	2019	
626	CAF	NGDP_RPCH	Central African Republic	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.995	12.954	-3.572	-6.027	9.912	3.733	7.193	0.000	1.718	3.790	1.364	-0.799	-4.923	-1.198	12.572	3.166	-6.157	4.105	3.340	2.887	-3.581	2.609	2.091	-2.249	-0.096	2.931	4.754	4.031	2.613	2.812	4.631	4.195	5.054	-36.392	0.080	4.338	4.750	4.528	3.820	2.970	-0.956	2.989	5.015	5.010	5.006	4.955	2017	
628	TCD	NGDP_RPCH	Chad	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.008	-10.805	5.376	15.659	5.256	7.897	5.966	3.647	7.544	1.952	3.202	10.402	2.392	-2.074	5.494	-0.775	2.115	5.653	6.952	-0.683	-0.880	11.658	8.491	14.722	33.629	8.311	0.648	3.272	3.063	4.139	13.598	0.120	8.807	5.753	6.893	1.770	-5.558	-2.380	2.303	2.960	-0.666	6.091	4.828	3.918	3.785	3.810	2017	
228	CHL	NGDP_RPCH	Chile	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.945	6.212	-13.588	-2.802	5.886	1.968	5.596	6.581	7.288	10.605	3.671	7.715	11.132	6.722	5.062	8.844	6.872	7.416	4.356	-0.456	5.335	3.301	3.096	4.090	7.202	5.742	6.316	4.912	3.567	-1.588	5.824	6.119	5.332	4.047	1.768	2.300	1.732	1.168	3.952	1.118	-6.001	4.495	3.216	2.945	2.690	2.507	2019	
924	CHN	NGDP_RPCH	China	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.910	5.100	9.000	10.800	15.200	13.501	8.900	11.700	11.200	4.200	3.888	9.300	14.200	13.900	13.000	10.919	9.900	9.200	7.800	7.700	8.523	8.355	9.147	10.018	10.152	11.365	12.721	14.253	9.650	9.401	10.563	9.500	7.900	7.800	7.300	6.900	6.849	6.947	6.750	6.110	1.851	8.237	5.798	5.733	5.646	5.494	2019	
233	COL	NGDP_RPCH	Colombia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.429	2.277	0.948	1.574	3.351	3.107	5.824	5.369	4.064	3.414	4.282	2.372	4.353	5.710	5.147	5.202	2.056	3.430	0.570	-4.204	2.925	1.678	2.504	3.918	5.333	4.707	6.717	6.738	3.283	1.139	4.495	6.948	3.913	5.134	4.499	2.956	2.087	1.359	2.515	3.260	-8.182	4.040	3.650	3.846	3.846	3.746	2019	
632	COM	NGDP_RPCH	Comoros	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.383	5.462	4.058	3.093	4.167	2.888	2.167	2.168	5.068	-0.816	7.363	-6.156	7.382	2.511	-4.007	5.630	-0.525	4.402	0.014	2.724	-0.967	5.444	4.616	1.971	3.100	5.745	-1.829	0.804	3.965	3.241	3.778	4.144	3.168	4.466	2.107	1.299	3.457	4.177	3.639	1.866	-1.818	2.900	3.812	3.999	4.044	4.177	2018	
636	COD	NGDP_RPCH	Democratic Republic of the Congo	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.405	0.945	-0.454	1.410	4.844	0.464	4.720	2.671	0.465	-1.260	-6.568	-8.445	-10.462	-13.468	-6.144	2.762	-1.935	-7.840	-3.875	-3.802	-8.136	-2.100	2.948	5.578	6.738	6.135	5.321	6.259	6.226	2.855	7.108	6.875	7.087	8.482	9.470	6.916	2.399	3.727	5.816	4.380	-2.150	3.583	4.461	4.313	4.778	4.265	2019	
634	COG	NGDP_RPCH	Republic of Congo	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.678	2.613	2.410	2.393	2.375	2.359	2.343	2.327	21.908	21.269	1.003	3.402	4.181	1.316	-1.401	3.965	3.495	-1.004	8.950	-3.678	11.752	-4.823	0.985	0.459	-0.197	9.211	7.986	-6.614	6.306	11.637	9.931	2.206	9.947	-0.712	6.717	-3.551	-10.702	-4.374	-6.427	-0.622	-6.996	-0.823	1.947	2.611	1.609	2.325	2018	
238	CRI	NGDP_RPCH	Costa Rica	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.752	-2.260	-7.285	2.859	8.028	0.722	5.536	4.765	3.432	5.666	3.600	2.263	9.197	7.088	4.487	4.121	1.238	5.565	6.962	3.943	3.833	3.490	3.292	4.255	4.337	3.871	7.238	8.168	4.650	-0.971	4.952	4.307	4.797	2.269	3.515	3.632	4.246	3.860	2.660	2.084	-5.497	2.296	3.398	3.000	3.100	3.200	2019	
662	CIV	NGDP_RPCH	Côte d'Ivoire	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.196	3.498	0.200	-2.500	-2.000	3.600	4.800	-0.500	1.140	2.950	-1.090	0.040	-0.250	-0.180	0.171	5.572	8.136	5.723	4.931	1.618	-2.068	0.121	-1.668	-1.360	1.232	1.721	1.516	1.765	2.543	3.251	2.018	-4.857	10.864	9.272	8.794	8.843	7.179	7.360	6.793	6.517	1.800	6.200	6.470	6.530	6.496	6.497	2017	
960	HRV	NGDP_RPCH	Croatia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-8.000	5.900	6.634	5.874	6.645	1.862	-0.936	3.749	3.347	5.116	5.640	4.160	4.314	5.001	5.266	1.760	-7.360	-1.496	-0.310	-2.238	-0.548	-0.104	2.437	3.484	3.139	2.695	2.936	-9.000	6.000	4.380	3.500	3.100	3.000	2019	
423	CYP	NGDP_RPCH	Cyprus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.920	3.051	6.279	5.307	8.837	4.746	3.583	7.139	8.317	8.088	7.402	0.740	9.365	0.701	5.899	9.924	1.245	2.641	6.112	4.999	5.965	3.952	3.722	2.624	5.025	4.854	4.714	5.097	3.647	-2.016	2.015	0.402	-3.448	-6.551	-1.865	3.375	6.747	4.361	4.057	3.230	-6.438	4.744	3.630	3.529	2.672	2.511	2019	
935	CZE	NGDP_RPCH	Czech Republic	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.525	-0.518	-0.357	1.384	4.001	3.043	1.570	3.584	4.814	6.602	6.767	5.570	2.686	-4.657	2.435	1.760	-0.785	-0.046	2.262	5.388	2.537	5.169	3.181	2.335	-6.499	5.117	4.304	3.964	3.038	2.515	2019	
128	DNK	NGDP_RPCH	Denmark	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.484	-0.658	3.678	2.594	4.172	4.005	4.900	0.254	-0.008	0.642	1.473	1.397	1.959	0.008	5.329	3.029	2.905	3.260	2.213	2.948	3.749	0.823	0.467	0.388	2.668	2.342	3.912	0.908	-0.511	-4.905	1.868	1.336	0.229	0.935	1.616	2.343	3.248	2.037	2.389	2.348	-4.500	3.500	2.500	2.040	1.740	1.700	2019	
611	DJI	NGDP_RPCH	Djibouti	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.562	-6.751	-1.360	-3.481	-3.732	-1.216	0.114	2.919	0.713	1.793	3.234	3.186	2.779	3.111	4.825	5.017	5.806	1.616	4.147	7.293	4.842	5.001	7.062	7.696	6.653	5.403	8.408	7.498	-1.000	7.000	6.500	6.500	6.000	6.000	2018	
321	DMA	NGDP_RPCH	Dominica	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	13.383	10.829	4.128	2.556	4.197	1.421	7.073	6.308	7.817	-0.191	5.419	1.346	2.030	2.162	0.034	3.030	3.105	2.185	3.774	0.355	2.340	-0.063	-2.829	6.353	3.051	0.656	4.659	6.354	7.121	-1.170	0.673	-0.224	-1.059	-0.608	4.389	-2.551	2.522	-9.530	0.533	8.386	-8.782	3.269	3.224	3.031	1.753	1.500	2018	
243	DOM	NGDP_RPCH	Dominican Republic	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.969	4.279	1.700	4.628	1.253	-2.123	3.522	10.117	2.156	4.401	-5.454	0.945	11.221	7.365	2.600	5.685	5.978	8.885	6.714	5.940	4.662	2.460	4.495	-1.346	2.570	9.428	9.174	7.416	3.210	0.946	8.340	3.133	2.717	4.875	7.050	6.927	6.659	4.667	6.983	5.052	-5.987	3.996	4.973	5.031	4.964	5.036	2018	
248	ECU	NGDP_RPCH	Ecuador	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.900	3.900	1.200	-2.800	4.200	4.400	3.094	-5.972	10.486	0.285	3.008	5.113	3.614	2.000	4.258	2.253	1.732	4.328	3.267	-4.739	1.092	4.016	4.097	2.723	8.211	5.291	4.404	2.190	6.357	0.566	3.525	7.868	5.642	4.947	3.789	0.099	-1.226	2.368	1.289	0.054	-11.002	4.760	1.279	1.719	2.027	2.285	2019	
469	EGY	NGDP_RPCH	Egypt	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.409	2.198	7.296	8.876	8.021	7.425	4.759	4.273	3.994	2.993	2.350	2.100	0.300	2.900	4.188	4.484	4.879	5.919	7.543	6.110	5.383	3.524	3.186	3.193	4.092	4.472	6.844	7.088	7.156	4.674	5.147	1.765	2.226	3.302	2.916	4.372	4.347	4.077	5.314	5.558	3.547	2.755	4.962	5.290	5.294	5.567	2019	
253	SLV	NGDP_RPCH	El Salvador	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-8.625	-5.725	-6.306	1.535	1.337	0.616	0.190	2.513	1.878	0.962	4.831	1.494	7.018	5.819	4.690	4.735	0.818	3.135	2.654	2.161	1.126	0.877	1.581	1.562	0.891	2.707	4.343	1.861	2.127	-2.083	2.106	3.812	2.814	2.239	1.710	2.395	2.542	2.253	2.430	2.385	-8.982	4.043	3.200	2.800	2.540	2.245	2019	
642	GNQ	NGDP_RPCH	Equatorial Guinea	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.839	5.769	2.202	5.004	1.011	12.905	-2.331	4.437	2.655	-1.229	2.537	-1.245	33.002	10.461	16.808	26.510	52.678	147.973	24.815	26.395	110.505	60.023	19.621	14.455	30.391	8.210	6.501	15.282	17.799	1.343	-8.924	6.524	8.313	-4.133	0.415	-9.110	-8.817	-5.667	-5.801	-6.100	-6.017	2.196	-4.700	-1.342	-1.628	-2.189	2017	
643	ERI	NGDP_RPCH	Eritrea	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12.882	20.918	2.325	9.136	7.900	1.966	0.187	-12.355	8.755	3.005	-2.656	1.452	2.574	-0.969	1.427	-19.436	12.179	10.853	25.710	1.886	-10.456	30.934	-20.621	7.391	-10.015	13.032	3.836	-0.627	5.738	3.743	3.888	3.917	3.949	2018	
939	EST	NGDP_RPCH	Estonia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.642	2.155	4.936	13.046	4.330	-0.403	10.106	5.980	6.802	7.567	6.767	9.490	9.719	7.574	-5.089	-14.434	2.690	7.444	3.125	1.346	2.987	1.845	3.188	5.499	4.355	4.996	-5.200	4.500	3.700	3.200	3.000	3.000	2019	
734	SWZ	NGDP_RPCH	Eswatini	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.811	6.902	1.439	-0.547	2.481	1.924	18.584	10.016	7.571	9.408	9.859	1.760	3.227	3.106	2.401	4.826	3.842	3.103	2.604	2.951	1.760	1.055	4.380	3.880	3.624	5.999	5.992	4.435	0.822	1.565	3.794	2.247	5.391	3.862	0.913	2.312	1.268	2.025	2.351	1.146	-3.465	1.436	0.796	0.975	1.905	2.093	2018	
644	ETH	NGDP_RPCH	Ethiopia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.997	--	0.961	7.845	-2.305	-11.413	9.693	13.870	0.574	-0.457	2.602	-7.218	-8.907	13.363	3.486	6.121	13.533	2.840	-4.185	6.294	9.838	7.400	1.600	-2.100	11.700	12.600	11.500	11.800	11.200	10.000	10.600	11.400	8.700	9.900	10.300	10.400	8.000	10.210	7.703	8.967	1.946	-0.023	8.918	8.832	8.618	7.964	2019	
819	FJI	NGDP_RPCH	Fiji	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.694	6.004	-1.092	-4.212	10.107	-3.774	6.596	-7.194	3.462	13.888	5.802	-2.700	6.100	2.600	5.100	2.600	4.800	-2.400	1.300	8.700	-1.700	1.900	3.200	0.800	5.400	-1.300	1.900	-0.900	1.000	-1.400	3.000	2.700	1.411	4.734	5.604	4.664	2.510	5.426	3.526	-1.300	-21.000	11.500	8.500	5.000	4.000	2.200	2018	
172	FIN	NGDP_RPCH	Finland	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.673	1.294	3.087	3.122	3.213	3.537	2.726	3.559	5.211	5.087	0.211	-5.886	-3.294	-0.662	3.964	4.217	3.667	6.334	5.457	4.380	5.773	2.610	1.707	2.004	3.992	2.780	4.028	5.299	0.784	-8.075	3.186	2.548	-1.397	-0.902	-0.365	0.544	2.760	3.270	1.516	1.147	-3.979	3.572	2.004	1.751	1.287	1.270	2019	
132	FRA	NGDP_RPCH	France	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.809	1.069	2.505	1.241	1.514	1.623	2.337	2.562	4.743	4.344	2.924	1.048	1.599	-0.629	2.358	2.107	1.413	2.336	3.589	3.421	3.924	1.984	1.136	0.823	2.830	1.663	2.449	2.425	0.255	-2.873	1.949	2.193	0.313	0.576	0.956	1.113	1.095	2.291	1.793	1.509	-9.757	6.026	2.862	2.292	1.925	1.678	2019	
646	GAB	NGDP_RPCH	Gabon	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	--	-4.000	4.100	2.000	4.900	5.800	-2.100	-15.400	3.500	15.431	5.147	6.124	-3.087	3.947	3.713	4.974	3.625	5.738	3.478	-8.943	-1.883	2.150	0.187	1.701	1.120	-0.786	-1.908	6.333	1.733	-2.279	6.270	7.092	5.251	5.517	4.435	3.879	2.091	0.473	1.006	3.777	-2.670	2.137	3.895	4.178	4.513	4.496	2019	
648	GMB	NGDP_RPCH	The Gambia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.705	-9.523	20.759	13.518	-7.620	3.649	2.364	2.800	1.702	4.331	5.696	2.163	1.763	3.833	-3.398	3.320	2.906	1.417	6.500	6.399	5.525	5.753	-3.247	6.874	7.046	-2.352	-0.556	3.043	6.256	6.666	5.908	-8.130	5.242	2.873	-1.407	4.058	1.943	4.823	7.235	6.057	-1.800	6.000	6.800	7.000	6.500	5.800	2018	
915	GEO	NGDP_RPCH	Georgia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.600	10.500	10.519	3.105	2.869	1.838	4.805	5.474	11.058	5.794	9.590	9.420	12.579	2.419	-3.651	6.249	7.358	6.369	3.621	4.431	3.023	2.906	4.842	4.843	5.148	-5.000	4.985	6.000	5.800	5.501	5.200	2019	
134	DEU	NGDP_RPCH	Germany	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.272	0.110	-0.788	1.555	2.826	2.192	2.417	1.469	3.736	3.913	5.723	5.011	1.920	-0.977	2.399	1.541	0.816	1.785	2.020	1.887	2.904	1.687	-0.201	-0.703	1.184	0.726	3.814	2.982	0.959	-5.696	4.185	3.914	0.427	0.432	2.217	1.487	2.230	2.604	1.268	0.555	-5.983	4.184	3.063	1.790	1.328	1.198	2019	
652	GHA	NGDP_RPCH	Ghana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.453	-3.780	-8.069	-6.210	9.467	6.538	5.970	6.693	6.579	4.523	3.591	4.805	4.374	4.748	3.519	4.214	4.745	5.821	4.996	4.532	3.624	3.808	4.625	5.096	5.364	6.214	5.835	4.125	8.966	5.546	7.755	14.198	8.504	7.189	2.898	2.178	3.448	8.144	6.264	6.478	0.927	4.197	4.143	7.353	4.584	4.452	2018	
174	GRC	NGDP_RPCH	Greece	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.679	-1.556	-1.130	-1.078	2.007	2.513	0.515	-2.257	4.288	3.799	--	3.102	0.697	-1.599	2.000	2.100	2.862	4.484	3.895	3.072	3.920	4.132	3.923	5.795	5.061	0.599	5.652	3.274	-0.335	-4.301	-5.478	-9.132	-7.300	-3.242	0.740	-0.438	-0.191	1.505	1.934	1.870	-9.504	4.117	5.579	3.742	2.433	1.011	2019	
328	GRD	NGDP_RPCH	Grenada	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	15.067	1.375	4.107	3.295	3.963	5.988	7.358	9.073	2.916	3.758	4.241	1.423	-0.813	-1.956	1.838	2.196	4.386	4.916	11.808	6.981	5.063	-2.024	3.438	9.464	-0.647	13.273	-3.993	6.124	0.948	-6.613	-0.511	0.765	-1.155	2.351	7.342	6.445	3.740	4.439	4.141	2.992	-11.779	3.049	5.126	5.037	3.381	2.735	2019	
258	GTM	NGDP_RPCH	Guatemala	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.700	0.644	-3.542	-2.528	0.510	-0.600	0.100	3.579	3.892	3.943	3.101	3.000	4.600	3.400	3.500	4.400	2.800	4.100	4.600	3.700	2.500	2.400	4.244	2.617	2.969	3.065	5.575	6.049	3.662	0.632	2.806	4.445	3.148	3.485	4.444	4.092	2.678	3.023	3.215	3.846	-2.000	3.951	3.751	3.500	3.251	3.251	2019	
