WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	27.962	34.466	25.463	10.591	9.370	4.789	-1.573	2.203	5.843	2.798	1.050	-3.064	0.154	0.971	2.700	2.110	2.145	2.214	2.347	2.418	2018
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.446	-2.324	-4.175	1.539	0.613	3.087	-2.952	0.737	0.598	0.446	0.067	1.566	0.910	-0.557	2.101	1.732	1.599	1.586	2018
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.984	3.728	5.416	4.351	2.863	3.473	3.804	1.778	1.982	2.096	2.352	2.445	2.789	2.969	2018
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.050	5.589	3.206	4.610	4.177	3.744	3.985	2.931	2.388	4.298	4.603	4.203	4.801	4.324	4.513	4.770	5.013	5.304	5.044	5.421	5.600	4.834	4.845	5.776	6.108	6.302	6.851	6.518	5.515	5.315	6.030	6.494	6.260	6.038	6.314	6.842	7.202	7.584	7.934	7.792	7.445	7.300	7.300	7.300	7.300	2018
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	2.202	0.698	-5.076	-2.288	-0.673	-0.450	-1.411	-0.126	2.446	2.485	0.478	-0.583	-0.098	0.600	1.500	1.840	1.840	1.840	2018
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.725	5.045	7.043	11.450	9.441	9.998	8.647	10.248	0.164	7.750	5.550	1.708	0.999	1.651	-3.830	-2.526	2.532	3.050	1.530	0.305	0.105	0.061	0.026	-0.373	2018
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.593	3.710	1.975	3.564	3.634	0.811	1.781	0.774	3.635	2.094	2.506	3.449	0.783	-2.253	2.744	1.798	0.235	0.201	1.255	1.740	1.453	1.735	1.438	1.214	1.300	1.305	1.319	1.359	1.362	2018
339	BLZ	NGDP_RPCH	Belize	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.013	0.214	-7.551	6.076	11.332	-1.419	7.275	21.997	10.861	15.474	11.209	11.457	12.069	6.269	0.162	0.656	1.425	3.547	3.732	8.777	13.020	5.030	5.109	9.330	4.645	2.583	4.578	1.104	3.228	0.671	3.383	2.163	2.938	0.852	3.692	3.432	-0.588	1.437	3.035	2.722	2.096	1.789	1.691	1.712	1.688	2018
638	BEN	NGDP_RPCH	Benin	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.255	1.929	1.682	-2.000	0.400	4.327	2.748	-2.074	3.428	-2.849	8.976	4.226	2.958	5.836	2.020	6.045	4.324	5.735	3.961	4.358	5.858	5.333	4.643	3.444	4.430	1.713	3.944	5.986	4.897	2.319	2.114	2.964	4.811	7.191	6.358	1.778	3.340	5.672	6.697	6.551	6.701	6.742	6.744	6.727	6.748	2018
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.118	6.748	6.527	6.981	12.571	10.752	5.722	9.327	9.720	6.428	3.570	3.963	6.208	7.355	6.260	4.605	5.528	7.212	5.911	6.907	7.171	6.411	2018
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.646	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	3.900	3.800	3.700	3.700	3.700	3.700	2017
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.150	3.074	3.215	3.114	3.624	2.800	2.600	2.600	2.800	2.900	3.000	2018
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	7.030	5.830	8.027	0.721	9.667	1.987	0.250	6.070	4.625	2.706	4.556	8.364	8.280	6.242	-7.652	8.564	6.048	4.456	11.343	4.149	-1.698	4.304	2.908	4.454	3.480	4.339	5.906	3.851	3.907	3.930	2018
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.555	4.910	5.839	4.232	0.182	3.399	0.345	0.468	4.384	1.382	3.053	1.139	5.757	3.192	3.955	6.064	5.095	-0.119	7.545	3.986	1.928	3.007	0.506	-3.551	-3.313	1.056	1.114	0.875	2.039	2.371	2.358	2.409	2.256	2018
516	BRN	NGDP_RPCH	Brunei Darussalam	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	-2.778	0.311	-0.360	2.206	1.085	3.148	4.759	0.301	3.149	4.477	2.881	-1.475	-0.560	3.053	2.853	2.745	3.872	2.903	0.504	0.388	4.412	0.120	-1.979	-1.819	2.652	3.744	0.913	-2.125	-2.508	-0.405	-2.465	1.327	0.053	1.814	4.702	3.595	3.539	2.428	2.116	2018
918	BGR	NGDP_RPCH	Bulgaria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.700	5.300	4.200	3.000	4.600	1.800	5.300	4.700	2.400	-0.500	-9.100	-10.755	-8.426	-11.625	-3.665	-1.601	-8.043	-1.646	4.861	-0.494	5.005	3.770	5.938	5.156	6.435	7.123	6.874	7.344	6.022	-3.586	1.324	1.915	0.031	0.494	1.838	3.471	3.937	3.811	3.081	3.700	3.200	3.000	2.800	2.800	2.800	2018
748	BFA	NGDP_RPCH	Burkina Faso	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.035	2.661	1.400	-1.200	1.600	11.300	7.955	-0.236	5.796	2.150	-0.603	9.070	0.233	3.461	1.315	5.716	11.015	6.317	7.308	7.333	1.887	6.609	4.353	7.810	4.478	8.665	5.984	4.372	5.800	2.962	8.446	6.627	6.453	5.794	4.326	3.895	5.946	6.317	6.821	5.967	5.967	6.013	6.018	6.000	6.000	2018
618	BDI	NGDP_RPCH	Burundi	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.825	12.164	-1.054	3.715	0.155	11.784	3.250	5.503	5.031	1.349	3.458	5.781	1.007	-6.236	-3.829	-7.919	-8.001	0.413	4.752	1.164	1.781	1.665	2.353	2.469	3.766	4.370	5.414	3.452	4.862	3.813	5.124	4.033	4.447	5.944	4.494	-3.956	-1.042	0.001	0.149	0.419	0.500	0.500	0.500	0.500	0.500	2015
624	CPV	NGDP_RPCH	Cabo Verde	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.263	8.450	2.822	9.523	3.780	8.643	2.872	4.308	5.997	5.698	0.692	1.403	3.045	7.310	6.930	7.492	6.694	7.639	8.413	11.860	7.267	6.138	5.283	7.502	4.927	5.810	9.118	9.218	6.651	-1.270	1.467	3.969	1.082	0.803	0.611	1.007	4.706	3.702	5.078	4.973	4.953	4.986	4.999	4.980	4.976	2018
522	KHM	NGDP_RPCH	Cambodia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9.616	3.327	1.118	7.592	7.069	4.042	8.181	5.979	5.898	4.007	4.682	12.705	9.575	8.561	6.579	8.506	10.341	13.250	10.771	10.213	6.692	0.087	5.963	7.070	7.313	7.357	7.143	7.036	6.863	6.997	7.533	6.970	6.772	6.704	6.639	6.561	6.514	2018
622	CMR	NGDP_RPCH	Cameroon	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.900	17.051	7.563	6.844	7.468	8.107	6.791	-2.153	-7.865	-1.770	-6.161	-3.764	-3.050	-3.158	-2.495	3.304	4.912	5.314	4.895	4.062	3.553	4.368	4.237	4.567	6.781	2.021	3.458	4.902	3.489	2.199	3.423	4.129	4.543	5.404	5.884	5.651	4.648	3.549	4.062	3.995	4.167	4.511	4.962	5.241	5.395	2017
156	CAN	NGDP_RPCH	Canada	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.163	3.503	-3.188	2.601	5.909	4.738	2.144	4.072	4.410	2.317	0.164	-2.086	0.901	2.661	4.495	2.692	1.619	4.280	3.898	5.161	5.179	1.789	3.017	1.801	3.087	3.203	2.635	2.073	1.008	-2.928	3.089	3.147	1.762	2.330	2.868	0.690	1.107	2.979	1.879	1.545	1.761	1.756	1.719	1.700	1.700	2018
626	CAF	NGDP_RPCH	Central African Republic	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.995	12.954	-3.572	-6.027	9.912	3.733	7.193	0.000	1.718	3.790	1.364	-0.799	-4.923	-1.198	12.572	3.166	-6.157	4.105	3.340	2.887	-3.581	2.609	2.091	-2.249	-0.096	2.931	4.754	4.031	2.613	2.812	4.631	4.195	5.054	-36.392	0.080	4.338	4.750	4.528	3.820	4.457	4.969	4.963	4.988	4.987	4.990	2017
628	TCD	NGDP_RPCH	Chad	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.008	-10.805	5.376	15.659	5.256	7.897	5.966	3.647	7.544	1.952	3.202	10.402	2.392	-2.074	5.494	-0.775	2.115	5.653	6.952	-0.683	-0.880	11.658	8.491	14.722	33.629	8.311	0.648	3.272	3.063	4.139	13.598	0.120	8.807	5.753	6.893	1.770	-5.558	-2.380	2.444	2.284	5.442	4.815	5.350	4.080	3.748	2017
228	CHL	NGDP_RPCH	Chile	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.945	6.212	-13.588	-2.802	5.886	1.968	5.596	6.581	7.288	10.605	3.671	7.715	11.132	6.722	5.062	8.844	6.869	7.417	4.362	-0.463	5.336	3.305	3.094	4.091	7.200	5.743	6.318	4.912	3.567	-1.594	5.825	6.119	5.332	4.049	1.769	2.306	1.694	1.255	4.024	2.515	3.017	3.229	3.265	3.261	3.190	2018
924	CHN	NGDP_RPCH	China	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.910	5.100	9.000	10.800	15.200	13.501	8.900	11.700	11.200	4.200	3.888	9.300	14.200	13.900	13.000	10.919	9.900	9.200	7.800	7.700	8.523	8.355	9.147	10.018	10.152	11.365	12.721	14.253	9.650	9.401	10.563	9.500	7.900	7.800	7.300	6.900	6.734	6.757	6.567	6.139	5.819	5.900	5.700	5.600	5.500	2018
233	COL	NGDP_RPCH	Colombia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.429	2.277	0.948	1.574	3.351	3.107	5.824	5.369	4.064	3.414	4.282	2.372	4.353	5.710	5.147	5.202	2.056	3.430	0.570	-4.204	2.925	1.678	2.504	3.918	5.333	4.707	6.779	6.849	3.257	1.205	4.348	7.363	3.903	4.567	4.728	2.956	2.087	1.351	2.569	3.356	3.646	3.749	3.750	3.750	3.749	2018
632	COM	NGDP_RPCH	Comoros	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.383	5.462	4.058	3.093	4.167	2.888	2.167	2.168	5.068	-0.816	7.363	-6.156	7.382	2.511	-4.007	5.630	-0.525	4.402	0.014	2.724	-0.967	5.444	4.616	1.971	3.100	5.745	-1.829	0.804	3.965	3.241	3.778	4.144	3.168	4.466	2.107	1.147	2.603	2.952	2.956	1.253	4.249	3.603	3.511	3.533	3.456	2016
