WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	Estimates Start After	
122	AUT	NGDP_RPCH	Austria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	2.314	-0.099	1.908	2.804	0.332	2.243	2.341	1.681	0.961	3.887	4.346	3.442	2.094	0.527	2.402	2.668	2.398	2.146	3.493	3.762	3.190	1.317	1.484	1.142	2.565	2.320	3.269	3.775	1.453	-3.586	1.809	2.927	0.628	-0.251	0.756	1.303	2.117	2.272	2.484	1.755	-6.318	4.795	5.278	-0.955	-1.174	-0.261	0.775	1.623	1.181	1.073	0.869	2024	
912	AZE	NGDP_RPCH	Azerbaijan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-23.098	-19.673	-13.027	2.531	8.884	6.007	11.396	6.227	6.486	9.439	10.208	9.254	26.400	34.466	25.000	10.770	9.260	5.000	0.100	2.203	5.843	2.768	1.080	-3.064	0.154	1.470	2.480	-4.199	5.616	4.715	1.354	4.100	3.519	2.498	2.377	2.380	2.451	2.481	2024	
313	BHS	NGDP_RPCH	The Bahamas	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	7.100	-2.900	6.300	6.800	2.400	4.100	2.600	3.700	2.255	2.300	1.052	-4.182	-3.826	0.308	3.149	4.379	4.224	4.946	4.716	7.144	4.149	2.626	2.705	-1.265	0.883	3.395	2.517	1.447	-2.324	-4.175	1.539	0.613	3.087	-2.863	1.847	0.997	-0.962	2.800	2.630	-1.357	-21.423	15.403	10.782	2.639	2.000	1.800	1.700	1.600	1.550	1.500	1.500	2023	
419	BHR	NGDP_RPCH	Bahrain	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	7.494	2.777	6.406	6.994	4.186	-0.930	0.484	-1.222	5.952	1.013	3.503	2.286	7.123	7.604	3.212	1.923	3.250	2.348	4.849	5.972	7.018	2.491	3.349	6.296	6.981	6.769	6.467	8.294	6.242	2.541	4.337	1.928	3.803	5.293	4.309	2.508	3.815	4.954	2.053	2.053	-5.911	4.350	6.180	3.878	2.776	2.753	2.994	3.046	2.988	3.067	3.155	2023	
513	BGD	NGDP_RPCH	Bangladesh	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	3.802	2.376	4.016	5.181	3.223	4.249	3.732	2.159	2.612	5.941	3.339	5.040	4.574	4.085	4.925	4.622	4.490	5.177	4.670	5.293	5.077	3.833	4.740	5.240	6.536	6.672	7.059	6.014	5.045	5.572	6.464	6.521	6.014	6.061	6.553	7.114	6.590	7.319	7.882	3.448	6.939	7.100	5.775	4.223	3.760	6.530	5.780	6.120	7.530	6.620	2024	
316	BRB	NGDP_RPCH	Barbados	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.371	-1.900	-4.900	0.500	3.600	1.100	5.100	2.600	3.500	3.600	-3.300	-3.900	-5.700	0.800	2.000	2.023	3.966	4.740	3.740	0.326	4.453	-2.367	0.791	2.171	1.407	3.965	5.669	2.251	0.703	-4.831	-2.237	-0.657	-0.433	-1.076	0.156	-0.846	1.792	0.128	-1.174	0.653	-15.054	-0.255	17.833	4.094	4.000	3.000	2.300	2.000	2.000	2.000	2.000	2023	
913	BLR	NGDP_RPCH	Belarus	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-7.600	-11.700	-11.084	2.776	11.434	8.442	3.354	5.760	4.735	5.058	7.053	11.450	9.461	10.001	8.621	10.211	0.171	7.845	5.226	1.603	0.929	2.548	-3.830	-2.526	2.532	3.149	1.446	-0.673	2.273	-4.504	4.127	4.000	2.758	1.984	1.369	0.942	0.834	0.823	2023	
124	BEL	NGDP_RPCH	Belgium	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.444	-0.279	0.595	0.312	2.466	1.652	1.823	2.307	4.723	3.469	3.137	1.833	1.531	-0.962	3.227	2.385	1.321	3.793	1.962	3.543	3.717	1.100	1.707	1.038	3.571	2.322	2.553	3.677	0.447	-1.906	2.710	1.931	0.216	0.306	1.766	1.474	1.193	1.475	1.878	2.443	-4.793	6.202	4.234	1.252	0.996	0.839	0.969	1.189	1.268	1.317	1.342	2024	
339	BLZ	NGDP_RPCH	Belize	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	5.013	0.214	-7.551	6.076	11.332	-1.419	7.275	21.997	10.861	15.474	11.209	11.781	12.731	6.138	-0.020	0.733	1.106	4.235	3.890	9.425	12.240	4.994	5.397	9.667	4.781	2.220	4.511	3.353	-1.682	-0.389	1.114	-0.245	3.738	4.454	4.031	2.876	0.055	-1.813	1.111	4.268	-13.903	17.746	9.653	1.149	8.190	3.218	2.500	2.371	2.215	2.087	2.000	2023	
638	BEN	NGDP_RPCH	Benin	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	9.255	1.929	1.682	-2.000	0.400	4.327	2.748	-2.074	3.428	-2.849	8.976	4.226	2.958	5.836	2.020	6.045	4.324	5.735	3.961	4.358	5.858	5.333	4.643	3.444	4.430	1.713	3.944	5.986	4.897	2.319	2.114	2.964	4.811	7.191	6.358	1.778	3.340	5.672	6.697	6.866	3.849	7.155	6.253	6.353	6.506	6.511	6.186	6.180	6.003	5.992	5.964	2023	
